タイトル,システム,ふりがな
3回ファンブルしたら死ぬ城,クトゥルフ,さんかいふぁんぶるしたらしぬしろ
3回ファンブルしたら死ぬ温泉旅館,クトゥルフ,さんかいふぁんぶるしたらしぬおんせんりょかん
3回ファンブルしたら死ぬ廃校舎探索奇行,クトゥルフ,さんかいふぁんぶるしたらしぬはいこうしゃたんさくきこう
東京ゴーストマティカ,クトゥルフ,とうきょうごーすとまてぃか
てけりり・かーにばる！,クトゥルフ,てけりりかーにばる
闇をゆく者達の宴,クトゥルフ,やみをゆくものたちのうたげ
星の瞬き,クトゥルフ,ほしのまたたき
ガレットデロワ,クトゥルフ,がれっとでろわ
砂糖菓子七つ,クトゥルフ,さとうがしななつ
CALLING,クトゥルフ,こーりんぐ
挽花,クトゥルフ,ばんか
遺睡蓮路,クトゥルフ,いすいれんろ
